"author","n","aff"
"Cognet A",1,"none"
"CohenKettenis P T",14,"none"
"Cohn J",10,"SEGM"
"Çolak E",1,"none"
"Cole T J",1,"none"
"Coleman E",1,"WPATH SOC8"
"Colizzi M",1,"none"
"Coll S",1,"none"
"Collin A",1,"none"
"Comer D",1,"none"
"ComerasChueca C",1,"none"
"Conard L A",2,"none"
"Connelly K",1,"none"
"Connolly D",1,"none"
"Cools M",4,"none"
"Corathers S D",1,"none"
"Corbet A",1,"none"
"Corman J",1,"none"
"Corneil T",1,"WPATH SOC8"
"Corona F",1,"none"
"Costa A B",1,"none"
"Costa D",1,"none"
"Costa R",1,"none"
"Couban R",3,"SEGM-funded"
"Couteau N",1,"none"
"Crasnow E",1,"none"
"Cretella M",1,"ACPeds"
"Cromwell L",1,"none"
"Crowley W",2,"none"
"Cuccolo N G",1,"none"
"Cumming R",1,"none"
"Cunningham H",1,"none"
"da Silva D C",1,"none"
"Da Silva L M B",1,"none"
"Daga A",1,"none"
"Dahlen H G",2,"none"
"Dahlen S",1,"none"
"Dahlgren Allen S",1,"none"
"Dahlin K",1,"SEGM-funded"
"Daley T",1,"none"
"Dalgleish T",1,"none"
"Dalke K B",1,"WPATH SOC8"
"DAngelo R",11,"SEGM"
"Danker S J",1,"none"
"DarNimrod I",1,"none"
"Dastur Z",1,"none"
"Davenport C W",1,"none"
"Davey R A",1,"none"
"DavidgePitts C",1,"none"
"Davidson S",1,"none"
"Dawood K",2,"none"
"de Blok C J M",3,"none"
"de Freminville J B",1,"none"
"de Graaf N M",4,"none"
"de Jongh R T",1,"none"
"De Maertelaere A S",1,"none"
"De Rooy F B B",1,"none"
"De Stavola B L",1,"none"
"de Vries A L C",16,"WPATH SOC8"
"de Vries E",1,"WPATH SOC8"
"de Vries M C",3,"none"
"DeChants J P",2,"none"
"DeCuypere G",1,"WPATH SOC8"
"Defreyne J",1,"none"
"Dekker L",1,"none"
"Dekkers F C M",1,"none"
"Delaney A",2,"none"
"Delemarrevan de Waal H A",3,"none"
"DelgadoRuiz R",1,"none"
"deMayo B E",1,"none"
"DeMeules M",1,"none"
"den Heijer M",12,"WPATH SOC8"
"Den Heijer M",1,"none"
"Denton K M",1,"none"
"Deshazo S J",1,"none"
"Deutsch M B",1,"WPATH SOC8"
"Devor A",1,"none"
"Devor A H",1,"WPATH SOC8"
"Dhejne C",2,"WPATH SOC8"
"Dhondt K",1,"none"
"Diamond D A",1,"none"
"Diamond G",1,"none"
"Diamond J B",1,"none"
"Diana P",1,"none"
"Diaz S",1,"SEGM-funded"
"Diedrich K",1,"none"
"Djordjevic M L",1,"none"
"Dmarco A",1,"WPATH SOC8"
"Dobrolińska M",1,"none"
"Dodd C G",1,"none"
"Dokken M",1,"none"
