"author","n","aff"
"Quinn G P",1,"none"
"Quinn V P",1,"none"
"Quintos J B",1,"none"
"Rachlin K",1,"WPATH SOC8"
"Rackliff K",2,"none"
"Radix A E",2,"WPATH SOC8"
"Raffo M",1,"none"
"Rahman S",1,"none"
"Rais A",1,"none"
"Rakic V",1,"none"
"Ramamurthi A",1,"none"
"Ramos R B",1,"none"
"Ranapurwala S I",1,"none"
"Ranta J P J",1,"none"
"Ravine A",1,"none"
"Raznahan A",1,"none"
"Reed E",1,"none"
"Reed T",1,"WPATH SOC8"
"Reese S",1,"none"
"Regenstreif L",1,"SEGM-funded"
"Reim E",1,"none"
"Reiner J",1,"none"
"Reirden D",1,"none"
"Reisner S L",1,"WPATH SOC8"
"Rennie M",1,"none"
"Resetkova N",1,"none"
"Richards C",2,"WPATH SOC8"
"RichterUnruh A",1,"none"
"Rider G N",1,"WPATH SOC8"
"Rieben C",1,"none"
"Rijn A B V",1,"none"
"Rijsdijk F V",1,"none"
"Ring A",1,"none"
"Ristori J",2,"WPATH SOC8"
"Rivera A",1,"none"
"RobbinsCherry S",1,"WPATH SOC8"
"Roberts C M",2,"none"
"Roberts S A",2,"WPATH SOC8"
"Robinson B",1,"none"
"Robinson J",2,"none"
"Robinson K A",1,"none"
"Roblee C V",1,"none"
"Roblin D",1,"none"
"Roden R C",1,"none"
"Rodgers R F",1,"none"
"RodriguezWallberg K A",1,"WPATH SOC8"
"Roeffen J",1,"none"
"Roepke T A",1,"none"
"Roessner V",2,"none"
"Rogers A",1,"none"
"Roia A",1,"none"
"RojasOviedo J L",1,"none"
"Roldan Y M",3,"none"
"Romanos G",1,"none"
"Romer D",1,"none"
"Rosen M",1,"none"
"Rosenfield K A",2,"none"
"Rosenthal S M",8,"WPATH SOC8"
"Ross L E",3,"none"
"Rothman M S",1,"none"
"Rotteveel J",2,"none"
"Rudd S",1,"none"
"Russell I",1,"none"
"Russell S T",2,"none"
"Russo A J",1,"none"
"Russon J",1,"none"
"Ruuska S M",4,"none"
"Ryan A",1,"none"
"Rydelius P A",1,"none"
"Saade Z",1,"none"
"Saarinen M",1,"none"
"Sabir K",1,"WPATH SOC8"
"Sachdeva J",1,"none"
"Safer J D",4,"WPATH SOC8"
"Saffery R",1,"none"
"Sahoo S",1,"none"
"Sakaluk J",1,"none"
"Sakkas D",1,"none"
"Sakpetch T",1,"none"
"Salaberria K",3,"none"
"SalinasQuiroz F",1,"none"
"Salonia A",1,"none"
"Salway T",1,"none"
"Sämfjord A",3,"none"
"Sandberg D E",1,"none"
"Sanders M",1,"none"
"Sandhu R",1,"none"
"Sandri F",1,"none"
"Santana G L",1,"none"
"Sapir L",1,"none"
"Sardh F",1,"none"
"Sarovic D",3,"none"
"Saunders L A",1,"none"
"Savulescu J",2,"none"
"Saxby K",1,"none"
"Scala A",1,"none"
"Scarbro S L",1,"none"
"Schagen S E E",3,"none"
"Schechter L S",1,"WPATH SOC8"
"Scheefer M F",1,"none"
"Scheim A I",1,"WPATH SOC8"
"Scher S",4,"none"
"Schirmer D A",1,"none"
"Schneider D",1,"none"
"Schneider M A",1,"none"
"Schultz W C W",1,"none"
"Schunder C",1,"none"
"Schuringa A",1,"none"
"Schuurman G S",1,"none"
"Schvey N A",1,"none"
"Schwartz L",2,"none"
"Schwarz K",1,"none"
"Schweizer K",1,"none"
"Scott J G",1,"none"
"Scully K",1,"none"
"Seal L J",1,"WPATH SOC8"
"Sehoole T J",1,"WPATH SOC8"
"Seiger R",1,"none"
"Self H",2,"none"
"Senefeld J W",1,"none"
"Senior R",1,"none"
"Seracchioli R",1,"none"
"Serra R",1,"none"
"Sevecke K",1,"none"
"Sevlever M",1,"none"
"Shadid S",1,"none"
"Sharma R",1,"none"
"Sharma S",1,"none"
"Shirazi T N",2,"none"
"Shrewsbury D",1,"none"
"Siafarikas A",1,"none"
"Siconolfi A",1,"none"
"Sievert E D",1,"none"
"Silva E D D",1,"none"
"Silverberg M J",2,"none"
"Sim P",2,"none"
"Simpson S",1,"none"
"Simpson V",1,"none"
"Sinai J",2,"SEGM-funded"
"Singh D",1,"none"
"Sintonen H",1,"none"
"Sivertsen B",1,"none"
"Skagerberg E M",2,"none"
"Skalkidou A",1,"none"
"Skeith L",1,"none"
"Skordis N",1,"none"
"Slahor L",1,"none"
"Slart R H",1,"none"
"Slovis J",1,"none"
"Smeehuijzen L",1,"none"
"Smids J",3,"none"
"Smit J M",1,"none"
"Smith Y L",1,"none"
"Smithee L",1,"none"
"Solá Izquierdo E",1,"none"
"Solbakk A",1,"none"
"Soleimanpour S",1,"none"
"Soll B M B",1,"none"
"Southgate A",1,"none"
"Spagnolo J",1,"none"
"Spegg C",1,"none"
"Spencer J B",2,"SEGM"
"Spencer K",1,"WPATH SOC8"
"Speranza A M",1,"none"
"Spiliadis A",5,"SEGM"
"Spritzer P M",3,"none"
"Stamm L",1,"none"
"Stanwich S",1,"none"
"StArmand C",1,"WPATH SOC8"
"Steensma T D",16,"WPATH SOC8"
"Stepney C",1,"none"
"Stevenson M O",1,"none"
"Stief C G",1,"none"
"Stoffers I E",1,"none"
"Stojanovic B",1,"none"
"Stolk T",1,"none"
"Strang J F",1,"WPATH SOC8"
"Straub J J",1,"none"
"Strauss P",1,"none"
"Streuli M I",1,"none"
"Strickland D",1,"none"
"Sumia M",1,"none"
"Sun C",1,"none"
"Sungnuch P",1,"none"
"Suomalainen L",1,"none"
"Swanson P",1,"none"
"Swendeman D",1,"none"
"Sylvester K",1,"none"
"Syrulnik E",1,"none"
"Tafuri K",1,"none"
"Taggart T",1,"none"
"Taghinia A",1,"none"
"Takagi A",1,"none"
"Talarico A",1,"none"
"Tang C",1,"none"
"Tangpricha V",8,"WPATH SOC8"
"Tarjamo K",1,"none"
"Taylor G B",1,"WPATH SOC8"
"Taylor J",8,"none"
"Te Brinke L W",1,"none"
"Telfer E E",1,"none"
"Telfer M",2,"none"
"Testa A",1,"none"
"Thalmann S",1,"none"
"Therman S",1,"none"
"Thijs A",1,"none"
"Thomas H J",1,"none"
"Thomas K C",1,"none"
"Thompson A",1,"none"
"Thompson L",3,"none"
"Thompson N",1,"none"
"Thompson P",1,"none"
"Thornton K",1,"none"
"Tik M",1,"none"
"Tilleman K",1,"WPATH SOC8"
"Ting J",1,"none"
"Tishelman A C",3,"WPATH SOC8"
"Tjiam C",1,"none"
"Tkach J A",1,"none"
"Tollit M A",1,"none"
"Tolmunen T",2,"none"
"Tople T",1,"none"
"Tordoff D M",2,"none"
"Tornese G",2,"none"
"Tosi M",1,"none"
"TovarMoll F",1,"none"
"Tramontina S",1,"none"
"Troiano E",1,"none"
"Troka E",1,"none"
"Trottmann M",1,"none"
"Tsampalieros A",1,"none"
"TSjoen G G",7,"WPATH SOC8"
"Tuisku K",7,"none"
"Tuomenvirta K",1,"none"
"Turban J L",1,"none"
"Tusconi M",1,"none"
"Twisk J W R",2,"none"
"Tynkkynen L",1,"none"
"Työläjärvi M",3,"none"
"Upadhyay S",1,"none"
"Uyar R",1,"none"
"Vaduva P",1,"none"
"VahaSavo V",1,"none"
"Vajapeyam S",1,"none"
"Vala L N",1,"WPATH SOC8"
"Valaskivi L",1,"none"
"van de Grift T C",2,"none"
"van den Berg M",1,"none"
"van den Boogaard E",1,"none"
"Van Den Heuvel O A",1,"none"
"van der Loos M A T C",3,"none"
"van der Meulen I S",1,"none"
"van der Miesen A I R",4,"none"
"van der Tuuk K",2,"none"
"van Diemen J J K",1,"none"
"Van Goozen S H",1,"none"
"van Heesewijk J O",2,"none"
"van Honk J",1,"none"
"Van Mello N M",3,"WPATH SOC8"
"Van Meter Q L",2,"ACPeds"
"Van Mol A",3,"ACPeds"
"Van Offel S",1,"none"
"Van Schuylenbergh J",1,"none"
"Van Trotsenburg A S P",2,"none"
"Van Trotsenburg M",1,"none"
"Van Trotsenburg M A A",1,"WPATH SOC8"
"van Zijverden L M",1,"none"
"Vandendriessche C",1,"none"
"VanderLaan D P",2,"none"
"Vankrunkelsven P",1,"none"
"Vargas Fiesco D C",1,"none"
"Vargas S O",1,"none"
"Veale J F",1,"WPATH SOC8"
"Veldeman L",1,"none"
"Venalainen S",1,"none"
"Vencill J A",1,"WPATH SOC8"
"Vento F D",1,"none"
"Ventresca C",1,"none"
"Verhaak C",1,"none"
"Verlooy R",1,"none"
"Verma R",1,"none"
"Verroken C",1,"none"
"Vervalcke J",2,"none"
"Viana D P D C",1,"none"
"Vibert V",1,"none"
"Vickerstaff V",1,"none"
"Victor S",1,"none"
"Vilain E",1,"none"
"Vilsbøll T",1,"none"
"Vincent B",1,"WPATH SOC8"
"Viner R M",1,"none"
"Vinik J",1,"none"
"Vink P",1,"none"
"Visnitchi D",1,"none"
"Visser K",1,"none"
"Vlot M C",2,"none"
"Volk J",1,"none"
"vonKnorring T",1,"none"
"Vrouenraets L J J J",1,"none"
"Vujovic S",1,"none"
"Vupputuri S",1,"none"
"Wagenaar E C F",1,"none"
"Wainipitapong S",1,"none"
"Walch A",2,"none"
"Walker S",1,"none"
"Wall C S J",1,"none"
"Walzer N K",1,"none"
"Wang L",1,"none"
"Wanta J W",1,"none"
"Ward D H",1,"none"
"Warenius M A S",1,"none"
"Warus J",1,"none"
"Wasserman L",1,"none"
"Watson N",1,"none"
"Webb R T",1,"none"
"Weber L E",1,"none"
"Weinand J",1,"none"
"Weiss J",1,"none"
"Welling L L",1,"none"
"WensingKruger S A",1,"none"
"Wesp L M",1,"WPATH SOC8"
"West M A",1,"WPATH SOC8"
"White A A",1,"none"
"White M",1,"none"
"White R",1,"none"
"Whitehead J",2,"none"
"Wiepjes C M",8,"none"
"Wilde B",1,"none"
"Williams K",1,"none"
"Wilson L M",1,"none"
"Wilson P",3,"none"
"Wilson S C",1,"none"
"Wilson T A",1,"none"
"Windischberger C",1,"none"
"Winter S",1,"WPATH SOC8"
"Winzeler B",2,"none"
"Witchel S",1,"none"
"Withers R",2,"none"
"Wolfe I",1,"none"
"Wong C F",1,"none"
"Wong W I",1,"none"
"Wood H",1,"none"
"Woolley T E",1,"none"
"Wortman A",1,"none"
"Wouters F M",1,"none"
"Wreford J",1,"none"
"Wright L N",1,"none"
"Wright T",1,"none"
"Xie H",1,"none"
"Xu R",1,"none"
"Yalcinkaya A",1,"none"
"Yalcinkaya R",1,"none"
"Yee S",1,"none"
"Yelisetti R",1,"none"
"YepesNuñez J J",1,"SEGM-funded"
"Yeung H",1,"none"
"Yorulmaz G",1,"none"
"Younoszai M",1,"none"
"Yu R",1,"none"
"Yunus R",1,"none"
"Yürekli B S",1,"none"
"Zeitler P",1,"none"
"Zepf F D",1,"none"
"Zhang Q",1,"none"
"Zhang Y",1,"SEGM-funded"
"Zitz C",1,"none"
"Zucker K J",8,"ICGDR"
