"title","journal","authors","abstract","doi_link","year"
"Effect of pubertal suppression and cross-sex hormone therapy on bone turnover markers and bone mineral apparent density (BMAD) in transgender adolescents","Bone","Vlot, M. C., Klink, D. T., den Heijer, M., Blankenstein, M. A., Rotteveel, J., Heijboer, A. C.","Vlot, M. C., Klink, D. T., den Heijer, M., Blankenstein, M. A., Rotteveel, J., Heijboer, A. C.
(2017)
  Effect of pubertal suppression and cross-sex hormone therapy on bone turnover markers and bone mineral apparent density (BMAD) in transgender adolescents.
    Bone","Vlot, M. C., Klink, D. T., den Heijer, M., Blankenstein, M. A., Rotteveel, J., Heijboer, A. C.
(2017)
  Effect of pubertal suppression and cross-sex hormone therapy on bone turnover markers and bone mineral apparent density (BMAD) in transgender adolescents.
    Bone",2017
"Efficacy and Safety of Gonadotropin-Releasing Hormone Agonist Treatment to Suppress Puberty in Gender Dysphoric Adolescents","The Journal of Sexual Medicine","Schagen, S. E., Cohen-Kettenis, P. T., Delemarre-van de Waal, H. A., Hannema, S. E.","Schagen, S. E., Cohen-Kettenis, P. T., Delemarre-van de Waal, H. A., Hannema, S. E.
(2016)
  Efficacy and Safety of Gonadotropin-Releasing Hormone Agonist Treatment to Suppress Puberty in Gender Dysphoric Adolescents.
    The Journal of Sexual Medicine","Schagen, S. E., Cohen-Kettenis, P. T., Delemarre-van de Waal, H. A., Hannema, S. E.
(2016)
  Efficacy and Safety of Gonadotropin-Releasing Hormone Agonist Treatment to Suppress Puberty in Gender Dysphoric Adolescents.
    The Journal of Sexual Medicine",2016
"Bone Mass in Young Adulthood Following Gonadotropin-Releasing Hormone Analog Treatment and Cross-Sex Hormone Treatment in Adolescents With Gender Dysphoria","The Journal of Clinical Endocrinology & Metabolism","Klink, D., Caris, M., Heijboer, A., van Trotsenburg, M., Rotteveel, J.","Klink, D., Caris, M., Heijboer, A., van Trotsenburg, M., Rotteveel, J.
(2015)
  Bone Mass in Young Adulthood Following Gonadotropin-Releasing Hormone Analog Treatment and Cross-Sex Hormone Treatment in Adolescents With Gender Dysphoria.
    The Journal of Clinical Endocrinology & Metabolism","Klink, D., Caris, M., Heijboer, A., van Trotsenburg, M., Rotteveel, J.
(2015)
  Bone Mass in Young Adulthood Following Gonadotropin-Releasing Hormone Analog Treatment and Cross-Sex Hormone Treatment in Adolescents With Gender Dysphoria.
    The Journal of Clinical Endocrinology & Metabolism",2015
"Psychological Support, Puberty Suppression, and Psychosocial Functioning in Adolescents with Gender Dysphoria","The Journal of Sexual Medicine","Costa, R., Dunsford, M., Skagerberg, E., Holt, V., Carmichael, P., Colizzi, M.","Costa, R., Dunsford, M., Skagerberg, E., Holt, V., Carmichael, P., Colizzi, M.
(2015)
  Psychological Support, Puberty Suppression, and Psychosocial Functioning in Adolescents with Gender Dysphoria.
    The Journal of Sexual Medicine","Costa, R., Dunsford, M., Skagerberg, E., Holt, V., Carmichael, P., Colizzi, M.
(2015)
  Psychological Support, Puberty Suppression, and Psychosocial Functioning in Adolescents with Gender Dysphoria.
    The Journal of Sexual Medicine",2015
"Young Adult Psychological Outcome After Puberty Suppression and Gender Reassignment","Pediatrics","de Vries, A. L. C., McGuire, J. K., Steensma, T. D., Wagenaar, E. C. F., Doreleijers, T. A. H., Cohen-Kettenis, P. T.","de Vries, A. L. C., McGuire, J. K., Steensma, T. D., Wagenaar, E. C. F., Doreleijers, T. A. H., Cohen-Kettenis, P. T.
(2014)
  Young Adult Psychological Outcome After Puberty Suppression and Gender Reassignment.
    Pediatrics","de Vries, A. L. C., McGuire, J. K., Steensma, T. D., Wagenaar, E. C. F., Doreleijers, T. A. H., Cohen-Kettenis, P. T.
(2014)
  Young Adult Psychological Outcome After Puberty Suppression and Gender Reassignment.
    Pediatrics",2014
"Puberty Suppression in Adolescents With Gender Identity Disorder: A Prospective Follow‐Up Study","The Journal of Sexual Medicine","de Vries, A. L., Steensma, T. D., Doreleijers, T. A., Cohen‐Kettenis, P. T.","de Vries, A. L., Steensma, T. D., Doreleijers, T. A., Cohen‐Kettenis, P. T.
(2011)
  Puberty Suppression in Adolescents With Gender Identity Disorder: A Prospective Follow‐Up Study.
    The Journal of Sexual Medicine","de Vries, A. L., Steensma, T. D., Doreleijers, T. A., Cohen‐Kettenis, P. T.
(2011)
  Puberty Suppression in Adolescents With Gender Identity Disorder: A Prospective Follow‐Up Study.
    The Journal of Sexual Medicine",2011
"Puberty Suppression in a Gender-Dysphoric Adolescent: A 22-Year Follow-Up","Archives of Sexual Behavior","Cohen-Kettenis, P. T., Schagen, S. E. E., Steensma, T. D., de Vries, A. L. C., Delemarre-van de Waal, H. A.","Cohen-Kettenis, P. T., Schagen, S. E. E., Steensma, T. D., de Vries, A. L. C., Delemarre-van de Waal, H. A.
(2011)
  Puberty Suppression in a Gender-Dysphoric Adolescent: A 22-Year Follow-Up.
    Archives of Sexual Behavior","Cohen-Kettenis, P. T., Schagen, S. E. E., Steensma, T. D., de Vries, A. L. C., Delemarre-van de Waal, H. A.
(2011)
  Puberty Suppression in a Gender-Dysphoric Adolescent: A 22-Year Follow-Up.
    Archives of Sexual Behavior",2011
"Gonadotrophin-releasing hormone (GnRH) and GnRH agonists: mechanisms of action","Reproductive BioMedicine Online","Ortmann, O., Weiss, J., Diedrich, K.","Ortmann, O., Weiss, J., Diedrich, K.
(2002)
  Gonadotrophin-releasing hormone (GnRH) and GnRH agonists: mechanisms of action.
    Reproductive BioMedicine Online","Ortmann, O., Weiss, J., Diedrich, K.
(2002)
  Gonadotrophin-releasing hormone (GnRH) and GnRH agonists: mechanisms of action.
    Reproductive BioMedicine Online",2002
"Retrospective Cohort Study of Transgender Adolescents at Strasbourg University Hospital","Children","Schunder, C., Gras-Vincendon, A., Brezin, F.","Schunder, C., Gras-Vincendon, A., Brezin, F.
()
  Retrospective Cohort Study of Transgender Adolescents at Strasbourg University Hospital.
    Children","Schunder, C., Gras-Vincendon, A., Brezin, F.
()
  Retrospective Cohort Study of Transgender Adolescents at Strasbourg University Hospital.
    Children",NA
"Sex Hormone Influences on Venous Thrombotic and Cardiovascular Risk","New England Journal of Medicine","Skeith, L., Bates, S. M.","Skeith, L., Bates, S. M.
(2026)
  Sex Hormone Influences on Venous Thrombotic and Cardiovascular Risk.
    New England Journal of Medicine","Skeith, L., Bates, S. M.
(2026)
  Sex Hormone Influences on Venous Thrombotic and Cardiovascular Risk.
    New England Journal of Medicine",2026
